"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2683,628451,"Ibáñez, Andy",2683,100,0.25,0.143,0.292,0.392,0.303,0.307,0.249,168,673,88.6,14.9,2254,88.7,88.92,345,1386,1297,0.20000000000000284,6.41,108,151,119,147,302,325,289,"10.341","-10.341","67.8","7.2",732,533,111,36,3,18,145,19.8,46,6.3,2.30851,0.64163,0.3397,-0.0757,"91.5",160,38.53383458646616,6.954887218045112,5.05464480874317,5.74,-0.09,0.11,2.29,0.304,37,"-0.385426761",0.305,0.396,"0.385426761",0.001,-0.0010000000000000009,-0.004,-0.004,24.9,"39.6",6.096627269012833,-1.452125967872634,28.61284678469351,0.42390194075587334,35.30508117603257,28.13143645193329
2683,624415,"Biggio, Cavan",2683,100,0.214,0.117,0.29,0.332,0.298,0.292,0.208,117,546,85.2,17.7,2260,89.5,89.73,251,1045,1638,0.20000000000000284,6.46,114,146,111,151,288,321,296,"7.225","-7.225","64.7","6.8",644,371,83,19,0,15,181,28.1,74,11.5,2.26888,0.62693,0.37541,-0.31457,"90.6",156,28.30188679245283,5.3908355795148255,3.1055900621118013,5.71,-1.34,-0.13,2.37,0.324,20,"-0.26928811",0.319,0.321,"0.26928811",0.006,0.0050000000000000044,0.011,0.006,24,"37.5",10.013619486477115,-3.7265661687194567,37.55668604677972,0.47419804741980476,34.20344977711838,27.64417522428743
2683,571745,"Haniger, Mitch",2683,100,0.208,0.137,0.273,0.345,0.276,0.3,0.225,123,591,90.7,14.5,2252,88.6,88.88,368,1198,1485,0.30000000000001137,6.44,107,152,120,146,302,323,293,"23.587","-23.587","70.8","7.0",652,402,79,25,1,18,191,29.3,55,8.4,2.37237,0.57468,0.23761,0.00362,"92.3",152,46.38403990024938,9.72568578553616,5.98159509202454,5.78,-0.66,0.13,2.27,0.279,39,"-0.879127842",0.295,0.389,"0.879127842",-0.017,-0.01599999999999996,-0.044,-0.024,30.7,"39.8",13.805272907510846,0.6375929800581484,32.386168895314135,0.5280764635603346,40.7596316533273,32.59683407944654
2682,605170,"Caratini, Victor",2682,100,0.262,0.149,0.291,0.411,0.319,0.319,0.258,172,657,90.5,12,2229,89,89.06,273,1266,1416,0.09999999999999432,6.42,114,147,123,150,291,322,295,"-5.066","5.066","70.3","6.9",731,530,125,21,1,25,138,18.9,51,7,2.38008,0.56148,0.36138,-0.36138,"92.4",145,42.64150943396226,6.7924528301886795,4.924760601915184,5.79,-1.09,-0.07,2.33,0.321,36,"0.188888889",0.321,0.402,"-0.188888889",0.004,0,0.009,0,21.6,"38.0",8.846107946159659,-0.5515873001088744,34.734760043174454,0.49661181026137463,34.19638443661733,35.179504994110076
2676,608348,"Kelly, Carson",2676,100,0.242,0.158,0.271,0.4,0.32,0.317,0.233,148,612,88.2,14.8,2294,89,89.17,283,1195,1481,0.20000000000000284,6.4,109,151,122,147,301,323,290,"0.532","-0.532","68.8","6.9",694,484,99,24,2,23,132,19,71,10.2,2.36461,0.5714,0.26329,0.01678,"91.7",157,39.75155279503105,7.039337474120083,4.899135446685879,5.76,-0.93,0.26,2.26,0.326,34,"-0.019880419",0.319,0.402,"0.019880419",0.009,0.007000000000000006,-0.002,0.003,23.7,"38.4",10.912095271450749,-1.121071759446813,32.743293475183016,0.4966698382492864,38.57317556506905,30.1756243930104
2676,676391,"Clement, Ernie",2676,100,0.281,0.126,0.293,0.407,0.31,0.293,0.266,223,793,85.2,16.2,2273,88.9,89.02,209,1485,1191,0.09999999999999432,6.45,107,151,111,146,296,318,286,"0.162","-0.162","64.1","6.8",840,727,161,41,4,17,79,9.4,30,3.6,2.3754,0.57345,0.29364,-0.062,"90.7",153,24.793388429752067,2.8925619834710745,2.5,5.73,-0.58,0.28,2.27,0.308,21,"-0.006053812",0.295,0.373,"0.006053812",0.015,0.013000000000000012,0.034,0.017,14.1,"37.9",10.148731660823822,-1.7431563798332979,32.85561013529355,0.5621854780733285,37.34896556425197,30.458956037790777
2674,624641,"Sosa, Edmundo",2674,100,0.259,0.166,0.317,0.425,0.316,0.301,0.247,170,657,87.2,12.6,2241,88.9,89.04,447,1547,1127,0.09999999999999432,6.42,108,150,117,146,298,321,287,"0.063","-0.063","70.9","8.1",714,497,108,35,7,20,168,23.5,28,3.9,2.34669,0.59377,0.3694,-0.06944,"91.4",141,36.76767676767677,7.07070707070707,4.901960784313726,5.82,-0.1,0.17,2.29,0.306,35,"-0.002356021",0.296,0.392,"0.002356021",0.012,0.010000000000000009,0.033,0.015,28.9,"37.8",9.948051875049629,-2.765508474137673,34.87472349391404,0.507532956685499,35.8944097375544,28.589895054786886
2664,596142,"Sánchez, Gary",2664,100,0.22,0.217,0.244,0.438,0.317,0.325,0.229,127,576,90.6,16.7,2263,88.6,88.82,316,1103,1561,0.20000000000000284,6.46,108,151,123,146,302,325,297,"-5.767","5.767","71.2","7.4",648,412,73,18,1,35,170,26.2,52,8,2.40467,0.55379,0.29486,-0.01616,"92.9",150,46.47201946472019,12.652068126520682,8.024691358024691,5.78,-0.45,0.18,2.28,0.298,52,"0.216478979",0.307,0.447,"-0.216478979",-0.009,-0.009000000000000008,-0.009,-0.008,28.6,"38.7",11.492847484054149,-5.607562950517469,29.95023974921499,0.5938271604938271,35.8377963463817,36.289323134028756
2656,666185,"Carlson, Dylan",2656,100,0.218,0.101,0.274,0.319,0.276,0.282,0.217,123,565,87.5,15.8,2232,89.6,89.86,336,1272,1384,0.30000000000001137,6.45,112,148,114,149,297,323,297,"23.687","-23.687","66.3","6.9",638,417,91,19,1,12,155,24.3,54,8.5,2.22122,0.65959,0.4155,-0.4155,"90.7",163,30.455635491606714,4.796163069544365,3.1347962382445136,5.76,-0.45,-0.09,2.36,0.296,20,"-0.891829819",0.296,0.333,"0.891829819",0.001,0,-0.014,-0.006,26.4,"38.0",9.956683879630702,0.4044492557945239,36.796443936724614,0.49887133182844245,34.927775130316114,27.705175205594973
2634,455117,"Maldonado, Martín",2634,100,0.173,0.139,0.235,0.312,0.24,0.258,0.184,108,626,84,15.6,2289,89.1,89.18,459,1286,1346,0.10000000000000853,6.47,108,151,118,146,295,322,290,"41.7","-41.7","68.0","7.4",695,404,67,18,0,23,242,34.8,45,6.5,2.33356,0.60936,0.27553,0.02417,"91.3",147,36.633663366336634,8.91089108910891,5.179856115107913,5.76,-0.78,0.19,2.28,0.233,36,"-1.583143508",0.243,0.346,"1.583143508",-0.011,-0.009999999999999981,-0.034,-0.018,35.7,"38.4",13.558948503272859,-6.2394238713604215,31.3892190534897,0.48161764705882354,38.84455917544373,34.11980250959801
2605,669397,"Allen, Nick",2605,100,0.22,0.054,0.268,0.274,0.248,0.252,0.223,142,645,82.2,7.2,2264,89.4,89.52,247,1262,1343,0.09999999999999432,6.4,107,149,106,147,300,314,281,"44.092","-44.092","61.8","6.2",714,530,119,16,2,5,134,18.8,46,6.4,2.2676,0.63053,0.33445,0.04147,"90.1",134,23.295454545454543,0.7575757575757576,0.5602240896358543,5.85,-0.73,0.19,2.28,0.274,4,"-1.692591171",0.279,0.277,"1.692591171",-0.003,-0.0050000000000000044,-0.003,-0.004,19.6,"39.1",4.042119807299407,1.6892428124732328,29.48714470076289,0.4258130081300813,35.53301587985683,30.87705692020628
